"Отметка времени","Вкажіть ваш вік","Вас влаштовує ваш сон?","Чи хотіли б Ви спостерігати за вашим сном, мати доступ до історії сну, бачити тривалість сну, оцінювати та спостерігати за зміною його якості?","Чи хотіли б Ви  за допомогою мобільного додатку спостерігати за вашим сном?","Чи хотіли б Ви мати можливість редагувати внесені дані? ","Чи хотіли б Ви отримувати повідомлення про наближення часу для засинання?","Оберіть які б функції Ви додали в програму?","Оберіть які кольори на Вашу думку найкраще підійдуть для мобільного додатку?","Чому на Вашу думку слід приділити увагу в дизайні?","Оберіть чого ви очікуєте від даної програми","Чи готові ви платити за послугу відстеження вашого сну?","","",""
"2022/09/27 6:18:12 PM GMT+3","25-40","ні","так","так","так","ні","Визначення моменту початку сну;Визначення моменту початку сну з аналізу звуків;Визначення мометну початку сну заналізу даних із фітнестрекера;Визначення моменту початку сну з аналізу даних з інших приладів","синій","простоті інтерфейсу","Спостереження за історією сну","не впевнений","","",""
"2022/09/27 6:20:46 PM GMT+3","18-25","так","так","Так, думаю в наш час це дійсно корисний додаток. Тому я б користувався ним.","так","ні","будильник;музикальний супровід для покращення сну;Отримання рекомендацій щодо підготовки до сну","синій;білий;чорний","кількості контенту;зовнішньому вигляду","Побудова правильного графіку сну;Підвищення ефективності сну;Спостереження за історією сну","Думаю це спірне запитання, але я вважаю що так.","","",""
"2022/09/27 6:22:16 PM GMT+3","18-25","так","так","так","не впевнений","ні","Визначення моменту початку сну з аналізу звуків;Отримання рекомендацій щодо підготовки до сну","синій;чорний;блакитний","простоті інтерфейсу","Побудова правильного графіку сну;Підвищення ефективності сну;Спостереження за історією сну","ні","","",""
"2022/09/27 6:48:49 PM GMT+3","25-40","Майже завжди","так","так","так","так","Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу звуків;Визначення моменту початку сну з аналізу із фітнестрейкера;Визначення моменту початку сну з аналізу даних з інших приладів;Отримання рекомендацій щодо підготовки до сну","синій;фіолетовий;білий;чорний;блакитний","простоті інтерфейсу;зовнішньому вигляду","Підвищення ефективності сну;Спостереження за історією сну","так","","",""
"2022/09/28 10:44:23 AM GMT+3","25-40","Не всегда","так","так","так","так","Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу звуків;Визначення моменту початку сну з аналізу із фітнестрейкера;Визначення моменту початку сну з аналізу даних з інших приладів;Отримання рекомендацій щодо підготовки до сну","синій;фіолетовий;білий;чорний;блакитний","простоті інтерфейсу;зовнішньому вигляду","Підвищення ефективності сну;Спостереження за історією сну","так","","",""
"2022/09/28 7:25:39 PM GMT+3","18-25","так","так","так","ні","ні","Визначення моменту початку сну на основі дій користувача;Отримання рекомендацій щодо підготовки до сну","синій;фіолетовий","простоті інтерфейсу","Підвищення ефективності сну;Спостереження за історією сну","ні","","",""
"2022/09/28 7:31:16 PM GMT+3","25-40","ні","не впевнений","не впевнений","не впевнений","ні","Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу із фітнестрейкера;Отримання рекомендацій щодо підготовки до сну","фіолетовий;білий;блакитний","простоті інтерфейсу","Вирішення проблем зі сном","ні","","",""
"2022/09/28 7:32:41 PM GMT+3","18-25","не впевнений","так","так","так","ні","будильник;Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу із фітнестрейкера","фіолетовий;білий;чорний","простоті інтерфейсу","Побудова правильного графіку сну;Підвищення ефективності сну;Спостереження за історією сну","не впевнений","","",""
"2022/09/28 7:32:52 PM GMT+3","18-25","так","так","так","так","ні","будильник;Отримання рекомендацій щодо підготовки до сну","синій;блакитний","простоті інтерфейсу;зовнішньому вигляду","Спостереження за історією сну","так","","",""
"2022/09/28 7:41:47 PM GMT+3","18-25","так","так","так","так","так","будильник;Визначення моменту початку сну на основі дій користувача;Отримання рекомендацій щодо підготовки до сну","фіолетовий;блакитний","зовнішньому вигляду","Побудова правильного графіку сну;Підвищення ефективності сну;Спостереження за історією сну","ні","","",""
"2022/09/28 8:24:31 PM GMT+3","25-40","ні","ні","ні","ні","ні","Ничего","чорний","простоті інтерфейсу","Ничего","ні","","",""
"2022/09/28 8:42:11 PM GMT+3","до 18","так","так","так","так","ні","музикальний супровід для покращення сну;Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу звуків;Отримання рекомендацій щодо підготовки до сну","Не знаю","простоті інтерфейсу;зовнішньому вигляду","Спостереження за історією сну","так","","",""
"2022/09/28 8:46:33 PM GMT+3","18-25","так","так","так","так","ні","будильник;Визначення моменту початку сну на основі дій користувача;Визначення моменту початку сну з аналізу із фітнестрейкера","синій;фіолетовий","простоті інтерфейсу;кількості контенту","Побудова правильного графіку сну;Вирішення проблем зі сном;Підвищення ефективності сну","ні","","",""
"2022/09/28 10:30:55 PM GMT+3","25-40","так","так","так","так","ні","музикальний супровід для покращення сну","синій;білий;чорний","зовнішньому вигляду","Підвищення ефективності сну;Спостереження за історією сну","ні","","",""
"2022/09/29 8:26:17 AM GMT+3","до 18","не впевнений","не впевнений","не впевнений","так","так","будильник;музикальний супровід для покращення сну;Визначення моменту початку сну на основі дій користувача;Отримання рекомендацій щодо підготовки до сну","синій;фіолетовий;білий","простоті інтерфейсу;кількості контенту","Побудова правильного графіку сну;Вирішення проблем зі сном;Підвищення ефективності сну;Спостереження за історією сну","ні","","",""
"2022/10/01 2:09:04 PM GMT+3","40+","не впевнений","так","так","так","так","будильник;музикальний супровід для покращення сну;Отримання рекомендацій щодо підготовки до сну","блакитний","простоті інтерфейсу","Підвищення ефективності сну","так","","",""
